num_routes,route_dist,worst_routes,worst_dist
34,5.6657928619510471,35,5.9798028398753047
33,5.8132614236414781,35,5.9300048216439762
35,6.0332946002478423,35,5.9698940848899866
34,5.79053449200768,35,6.0348598555034698
35,5.808021558244377,35,6.053298643925018
35,6.0975614921838854,35,6.0443170518120013
34,5.9998959430642884,35,5.9469279420562486
35,5.9413116912933361,35,5.8584956063758256
34,5.8807260246128692,35,5.8906217538440728
34,5.89980367347259,35,5.9682853428441973
35,6.0471771172249476,35,5.9442597864095745
34,5.8396937226150811,35,5.9661314237629739
34,5.9940827495851181,35,5.885911161606856
35,6.0492668685167246,35,5.8646091848980433
34,5.9959898518404344,35,5.7154903148143887
34,6.1396169787742991,35,6.0432898105557058
36,5.9628544789598976,36,5.8685755287123555
34,6.114914828475932,35,5.8892841682609003
34,6.0683209157501352,35,5.9886802808659638
34,5.9091913321371976,35,5.8664021299016014
35,6.0861977540906906,34,5.9445812090913677
36,5.9876932350766907,35,5.9432598332697211
34,6.0745546030815802,35,5.9191484382823347
35,5.8583777034955489,35,5.8928474058959353
35,6.0919366913944373,35,5.785802787411285
33,6.1102454273050455,35,5.9957400662704998
36,5.8904709794778256,35,5.8347593909022919
35,6.0384365256668673,35,5.9393120622873852
34,5.8399932139065527,35,5.9511307599390477
35,5.9096926555827451,35,6.0141946954247061
