num_routes,route_dist,worst_routes,worst_dist
34,6.3282627329691081,35,6.249744995813387
36,6.2190515120979057,36,6.2027076529274865
34,5.9066438263529477,35,5.9912637687416321
34,5.8914773600562143,35,5.8995844907585848
35,6.0892861922906434,35,6.0414490531192087
34,6.3217925800147299,35,6.2400147160168586
34,6.1690881244942517,35,5.9818791010257257
34,6.0423563479346427,35,5.946720846016234
34,6.0266526565253287,34,5.943337714950971
36,6.1251787739212489,35,6.0579342174805646
33,5.8681396679875917,35,5.9599085777028762
34,6.0360677030307954,35,6.0407608441148994
35,6.1102064558764653,35,5.9625210935842148
34,5.8886210899035802,35,6.1432923279430298
35,6.323956082737979,35,6.2588847530741702
35,5.9725923848771458,35,6.1034126698870637
35,6.1982811387590289,35,5.9460671060522543
35,5.996436288516648,34,5.9559811231142277
34,5.9411646678639016,35,6.132248065578878
35,6.0955227029039207,35,5.9235350655333292
36,5.9918886401934088,35,6.008788250449399
34,5.9982229642303366,35,6.0984190933357638
36,6.0603303288792176,35,6.1002440253471661
35,6.183323451922476,35,6.0333209051974421
35,6.1857984815763132,35,6.1280920056756969
35,6.0433850761307184,35,6.0641719181319758
35,6.1402466614184448,35,6.0514678809992688
35,6.3027524604754888,35,5.9714766161055479
35,6.1161473911623574,35,5.8988358749297163
35,6.0458905272914194,35,5.9204844027601098
